question,answer
What is the size of the SDV virion?,The SDV virion is an isometric virus particle about 26 nm in diameter.
How many RNAs are present in SDV?,Two RNAs are present: RNA1 with about 7000 nt and RNA2 with about 5400 nt.
Where has SDV been reported?,"SDV has been reported from Japan, China, Iran, Korea, and Turkey."
Is SDV transmitted by grafting?,"Yes, SDV is readily transmitted by grafting."
Can SDV be transmitted through soil?,It has been reported but not confirmed.
Is there a vector for SDV?,"No, no vector has been reported."
What is Huanglongbing (HLB)?,A citrus disease also known as citrus greening disease.
What are the symptoms of HLB?,"Asymmetrical mottling of leaves, yellowed midribs, decline and dieback of the canopy, and yellow shoots."
What happens to the tree once it's infected with HLB?,The tree will decline and die over 2-3 years.
Are there different forms of HLB?,"Yes, three forms have been identified: Asiatic, African, and American."
What is associated with the Asiatic form of HLB?,Candidatus Liberibacter asiaticus (Las).
What is associated with the African form of HLB?,Candidatus L. africanus (Laf).
What is associated with the American form of HLB?,Candidatus L. americanus (Lam).
What is the temperature range for the Asiatic form of HLB?,The Asiatic form expresses symptoms at warmer temperatures.
What is the temperature range for the African form of HLB?,The African form expresses strongest symptoms under cooler temperatures.
What is the effect of HLB on fruit production?,"Fruit production is reduced, symptomatic fruit is small, and fruit often drops prematurely."
What is the ultimate result of HLB infection in a tree?,The tree will decline and die over 2-3 years.
What is the characteristic symptom of HLB fruit?,"Lob-sided fruit, usually with aborted seed, and off flavor."
What is the optimal temperature range for Huanglongbing (HLB) to express symptoms?,Cooler temperatures.
What is the typical outcome of prolonged warmer temperatures on HLB-infected plants?,Elimination of the disease.
What are the two psyllid vectors of HLB?,Diaphorina citri and Trioza erytreae.
Which psyllid vector is more efficient at transmitting HLB?,Diaphorina citri.
What is the recommended method for controlling HLB in areas where it's not yet established?,"A three-pronged approach of regular surveys, psyllid control, and using clean plant material."
What is the cause of Stubborn disease?,A helical mollicute called Spiroplasma citri.
What is the primary symptom of Stubborn disease in young trees?,"Stunting, which prevents them from growing."
What is a characteristic of fruit on trees affected by Stubborn disease?,"Lopsided, small size, and aborted seed."
What is the typical symptom on the tree canopy when larger trees are infected?,Localized symptoms in sectors.
What is the effect of Stubborn disease on the color of fruit?,"Color inversion, with the stylar end remaining green and the peduncular end showing color."
What is the name of the disease caused by Spiroplasma citri?,Stubborn.
When was Stubborn disease first described?,1944 in California.
What is the result of the genome sequencing of S. citri?,The complete sequence of the genome.
What is stubborn disease in citrus plants?,"Stubborn is a disease caused by Spiroplasma that affects citrus plants, characterized by slow growth, small cupped leaves, and leaf mottling."
How is stubborn disease diagnosed?,"Stubborn disease is diagnosed through in vitro culture, PCR, and real-time PCR, or by biological indexing."
What are the common symptoms of stubborn disease?,"The common symptoms of stubborn disease include slow growth, small cupped leaves, short internodes between leaves, and leaf mottling."
Are all citrus varieties susceptible to stubborn disease?,"Yes, most citrus varieties and cultivars are susceptible to stubborn disease."
What are the vectors of stubborn disease?,"The vectors of stubborn disease are several planthoppers, including Circulifer tenellus, Scaphytopius nitidus, and Circulifer haematocepts."
Can planthoppers transmit stubborn disease from citrus to citrus?,"No, there is little evidence of citrus-to-citrus transmission of stubborn disease."
How can farmers control stubborn disease?,"Farmers can control stubborn disease by using quarantine, clean stock, and certification programs, and by avoiding the movement of planthopper vectors during their active breeding seasons."
What is citrus variegated chlorosis (CVC)?,"Citrus variegated chlorosis (CVC) is a disease caused by a virus that affects citrus plants, characterized by chlorotic appearance of the tree."
Where did CVC first appear?,CVC first appeared in Brazil in 1987.
How does CVC affect citrus plants?,"CVC affects citrus plants by causing sectoring of symptoms, yellowing of leaves, and the formation of small, light brown gummy lesions on the underside of leaves."
How can farmers control CVC?,"Farmers can control CVC by removing infected plants, using healthy plant material, and implementing good agricultural practices."
What is the best way to identify CVC?,"CVC can be identified by its characteristic symptoms, including chlorotic appearance of the tree, sectoring of symptoms, and the formation of small, light brown gummy lesions on the underside of leaves."
Is CVC a new disease?,"No, CVC was first reported in Brazil in 1987 and has since spread to other countries."
What is the main symptom of CVC?,"The main symptom of CVC is the chlorotic appearance of the tree, which resembles a zinc deficiency."
How can farmers prevent the spread of CVC?,"Farmers can prevent the spread of CVC by using healthy plant material, implementing good agricultural practices, and removing infected plants."
Are all citrus plants susceptible to CVC?,"No, not all citrus plants are susceptible to CVC, but most commercial varieties are."
What is the best way to manage CVC?,"The best way to manage CVC is to remove infected plants, use healthy plant material, and implement good agricultural practices."
Can CVC be cured?,"No, CVC is a viral disease and cannot be cured, but it can be managed by removing infected plants and using healthy plant material."
Is CVC a major threat to citrus production?,"Yes, CVC is a major threat to citrus production, particularly in Brazil and other countries where it has been reported."
What is the economic impact of CVC on citrus production?,"The economic impact of CVC on citrus production is significant, as it can lead to reduced yields, lower fruit quality, and increased costs for farmers."
How can farmers minimize the impact of CVC on their production?,"Farmers can minimize the impact of CVC on their production by removing infected plants, using healthy plant material, and implementing good agricultural practices."
What is the current status of CVC research?,"Research is ongoing to better understand the epidemiology of CVC, develop diagnostic methods, and identify effective management strategies."
What is the potential for CVC to spread to other regions?,"There is a high potential for CVC to spread to other regions, particularly in areas where citrus plants are grown."
What is CVC?,"CVC stands for Citrus Variegated Chlorosis, a disease caused by a pathovar of Xylella fastidiosa."
What are the symptoms of CVC on citrus trees?,"Symptoms include reduced fruit size, hard rind, and stunted growth, with branches dying back and canopy thinning."
How does CVC affect fruit ripening?,CVC affected fruit ripens earlier than healthy fruit and has a higher sugar content.
How do CVC affected trees differ in fruit production?,"CVC affected trees produce more fruit, but the fruit is smaller, and tends to occur in clusters."
What is the primary vector of CVC?,Several species of sharpshooters have been identified as vectors of CVC.
How is CVC controlled?,"CVC is controlled through quarantine, clean stock, and certification programs, as well as vector control using insecticides."
What are the three main programs for controlling citrus viruses?,"The three programs are quarantine, clean stock, and certification."
What is the purpose of quarantine programs?,Quarantine programs allow for the safe introduction of new citrus varieties or cultivars into an area or region without introducing viruses or pathogens.
Who operates quarantine programs?,Quarantine programs are operated under the guidance of the Ministry of Agriculture or state Department of Agriculture.
What is the first step in introducing new citrus varieties or cultivars?,The first step is to request an import permit.
What is the role of regulatory authority in quarantine programs?,Regulatory authority ensures that everyone concerned knows the material being imported and operates the quarantine program.
What is the main purpose of clean stock programs?,"Clean stock programs test, treat, and produce pathogen-tested propagating stock for the industry."
What is the third program for controlling citrus viruses?,"The third program is certification, which ensures the maintenance and use of pathogen-tested propagating material for commercial use."
What is certification in the context of citrus virus control?,Certification ensures that pathogen-tested propagating material is used for commercial production.
Who conducts certification programs?,Certification programs are operated under the guidance of the Ministry of Agriculture or state Department of Agriculture.
What is the role of certification in preventing the spread of citrus viruses?,"Certification ensures the maintenance and use of pathogen-tested propagating material, preventing the spread of citrus viruses."
"What is the relationship between quarantine, clean stock, and certification programs?",These three programs work together to control citrus viruses and prevent their spread.
What is the role of vector control in preventing the spread of citrus viruses?,"Vector control, such as insecticide applications, is important for preventing the spread of citrus viruses."
What is the primary goal of controlling CVC?,The primary goal is to prevent the spread of the disease and minimize its impact on citrus production.
What are some of the species of sharpshooters that vector CVC?,Several species of sharpshooters have been identified as vectors of CVC.
How does CVC affect the growth of citrus trees?,"CVC affected trees become stunted, with branches dying back and canopy thinning."
What is the long-term outcome of CVC on citrus trees?,"CVC affected trees rarely die, but may become severely stunted and reduced in production."
What is the first step in importing germplasm?,"Inspecting the germplasm to ensure it is free from insects, fungi, and other pests."
What is done to the imported germplasm to prevent the spread of diseases?,"It is placed in a quarantine greenhouse or a remote area, or surface-sterilized buds are used for shoot tip grafting."
What is the purpose of therapy in citrus germplasm?,To eliminate graft-transmissible pathogens.
What are the traditional methods of therapy for citrus germplasm?,Thermotherapy and shoot tip grafting.
What is thermotherapy?,Subjecting buds grafted onto a rootstock to an extended heat cycle.
Why is thermotherapy used?,To eliminate graft-transmissible pathogens.
What is cryotherapy?,A recent method used to eliminate graft-transmissible pathogens.
What is the purpose of quarantine in citrus germplasm?,To ensure that incoming accessions are free from diseases and pests.
What is the benefit of using a quarantine program?,It helps prevent the spread of diseases and pests in the citrus industry.
What is the relationship between a quarantine program and a clean stock program?,They work together to ensure that citrus germplasm is free from diseases and pests.
What is the first step in the citrus certification program?,Inspecting the germplasm for diseases and pests.
What is the goal of the citrus certification program?,To ensure that citrus germplasm is free from diseases and pests.
What is the benefit of using a clean stock program?,It helps maintain the health and quality of citrus crops.
What is the relationship between a clean stock program and a quarantine program?,They work together to ensure that citrus germplasm is free from diseases and pests.
What is the purpose of therapy in a clean stock program?,To eliminate graft-transmissible pathogens.
What is the benefit of using therapy in a clean stock program?,It helps ensure the health and quality of citrus crops.
What is the difference between thermotherapy and cryotherapy?,"Thermotherapy involves subjecting buds to heat, while cryotherapy involves using cold temperatures to eliminate pathogens."
What is the most recent method used to eliminate graft-transmissible pathogens?,Cryotherapy.
What is the benefit of using cryotherapy?,It is a more effective method of eliminating graft-transmissible pathogens than traditional methods.
What is the long-term goal of the citrus certification program?,To ensure the health and quality of citrus crops and prevent the spread of diseases and pests in the industry.
What is grafting in citrus farming?,"Grafting is the process of attaching a bud onto a rootstock, usually a citrange."
Why is grafting used in citrus farming?,Grafting is used to remove pathogens from citrus plants.
What is heat treatment used for in grafting?,Heat treatment is used to eliminate pathogens from citrus plants.
What is the temperature and light cycle used in heat treatment?,"The temperature is 40°C for 16 hours and 30°C for 8 hours, with a 16-hour light cycle."
How long does heat treatment typically last?,Heat treatment typically lasts 12-16 weeks.
What is the disadvantage of heat treatment?,"The disadvantage of heat treatment is the time required, 12-16 weeks."
What is shoot tip grafting?,Shoot tip grafting is a method of removing citrus viruses.
What is involved in shoot tip grafting?,"In shoot tip grafting, meristem tips are cut from emerging buds and grafted onto etiolated rootstocks grown in vitro."
Why are meristem tips used in shoot tip grafting?,Meristem tips are used because they are usually free of grafting material.
What is the purpose of using clean material in citrus farming?,The purpose of using clean material is to protect plants from vector-borne pathogens.
What is a mother tree?,A mother tree is a tree that is used to produce clean material for grafting.
What is a secondary mother tree?,A secondary mother tree is a tree that is used to increase the number of buds available for propagation.
What is a variety block?,A variety block is a block of trees that are evaluated for their horticultural trueness to type.
What is the purpose of a variety block?,The purpose of a variety block is to obtain production data.
What is the goal of citrus certification programs?,The goal of citrus certification programs is to ensure that citrus plants are free of pathogens.
What is the process of establishing a citrus certification program?,"The process of establishing a citrus certification program involves receiving clean material, establishing mother trees, and evaluating horticultural trueness to type."
What is the importance of maintaining mother trees under protected conditions?,The importance of maintaining mother trees under protected conditions is to protect them from exposure to vector-borne pathogens.
What is the purpose of using etiolated rootstocks in grafting?,The purpose of using etiolated rootstocks is to provide a clean material for grafting.
What is the role of grafting tape in grafting?,The role of grafting tape is to keep the bud wrapped and prevent it from growing or pushing.
What is the process of removing pathogens from citrus plants?,The process of removing pathogens from citrus plants involves grafting and heat treatment.
What is the importance of evaluating horticultural trueness to type in citrus farming?,The importance of evaluating horticultural trueness to type is to ensure that the plant is true to its variety.
What is the citrus tristeza virus?,"A virus that causes leaf vein clearing, leaf cupping, stunting, and stem pitting in citrus plants."
How can citrus tristeza virus be detected?,It can be detected using a Cool ELISA test.
What are the symptoms of citrus psorosis virus?,"Leaf vein flecking, oak-leaf patterns on young leaves, and bark scaling may occur."
Can citrus psorosis virus cause shock symptoms?,"Yes, it can cause shock symptoms."
What is the infectious variegation virus?,A virus that causes leaf variegation and/or crinkle on sour orange and chlorotic spotting on lemon.
How can infectious variegation virus be detected?,It can be detected using a Cool test.
What is the apple stem grooving virus?,A virus that causes citrange stunt and is also known as citrus tatter leaf virus.
What are the symptoms of apple stem grooving virus?,Deformed leaves with chlorotic zones on C. excelsa and deformed leaves with chlorotic leaf blotch and stem with zigzag growth on rusk citrange.
How can apple stem grooving virus be detected?,It can be detected using a Cool test.
What is citrus leaf blotch virus?,A virus that causes a mottle pattern on leaves.
How can citrus leaf blotch virus be detected?,It can be detected using a Cool RT-PCR test.
What is the citrus viroid?,"A small RNA virus that causes leaf epinasty and/or stunting, midvein necrosis, and is often detected using a warm sPAGE test."
How can citrus viroid be detected?,It can be detected using a warm sPAGE test from inoculated citrons.
What is the purpose of quarantine testing for citrus viruses and virus-like diseases?,To ensure the release of healthy citrus plants from quarantine status.
How often should citrus plants be tested for viruses?,Regular testing is necessary to detect and prevent the spread of citrus viruses and virus-like diseases.
What are the common symptoms of citrus viruses and virus-like diseases?,"Symptoms can include leaf variegation, leaf cupping, stunting, stem pitting, leaf flecking, oak-leaf patterns, bark scaling, and chlorotic spotting."
Can citrus viruses and virus-like diseases be spread through insect vectors?,"Yes, some citrus viruses and virus-like diseases can be spread through insect vectors."
How can farmers prevent the spread of citrus viruses and virus-like diseases?,"By practicing good agricultural practices, such as using resistant rootstocks, removing infected plants, and monitoring for symptoms."
What is the importance of testing for citrus viruses and virus-like diseases?,"Testing is important to detect and prevent the spread of these diseases, which can have significant economic and environmental impacts."
Who should perform the testing for citrus viruses and virus-like diseases?,The testing should be performed by trained professionals in a laboratory setting.
What are the consequences of not testing for citrus viruses and virus-like diseases?,"Failure to detect and control these diseases can result in significant economic losses, reduced fruit quality, and environmental impacts."
How can farmers minimize the risk of citrus viruses and virus-like diseases?,"By practicing good agricultural practices, such as using resistant rootstocks, removing infected plants, and monitoring for symptoms."
Can citrus viruses and virus-like diseases be cured?,"No, citrus viruses and virus-like diseases are generally not curable, but they can be managed through control measures such as testing and removal of infected plants."
What is the purpose of using transmissible pathogens in plant propagation?,To eliminate pathogens and prevent the spread of diseases.
"What is in vitro quarantine, and how does it differ from traditional quarantine?","In vitro quarantine is a modified procedure where the budstick is grown under controlled conditions, whereas traditional quarantine involves growing the plant in the field."
What is the indicator plant used for testing citrus viruses?,Rough lemon is used as the indicator plant for testing citrus viruses.
What are the symptoms of cachexia virus on rough lemon?,Petiole necrosis and leaf tip browning are the symptoms of cachexia virus on rough lemon.
What is the preferred condition for growing citrus plants for testing?,Warm conditions are preferred for growing citrus plants for testing.
What is the purpose of laboratory diagnostic tests for citrus viruses?,Laboratory diagnostic tests are used to identify the presence of citrus viruses.
What is the purpose of testing for spiropplasma citri/stubborn on sweet orange?,The purpose of testing for spiropplasma citri/stubborn on sweet orange is to detect the presence of this virus-like disease.
What are the symptoms of spiropplasma citri/stubborn on sweet orange?,"The symptoms of spiropplasma citri/stubborn on sweet orange include stunting, small leaves, and leaf cupping."
What is the method used for testing citrus vein enation virus on sour orange/Mexican lime?,Reverse transcriptase polymerase chain reaction (RT-PCR) is used for testing citrus vein enation virus on sour orange/Mexican lime.
What are the symptoms of citrus vein enation virus on sour orange/Mexican lime?,The symptoms of citrus vein enation virus on sour orange/Mexican lime include vein enations and galls that may form on the plant.
What is the purpose of testing for Huanglongbing-associated Candidatus Liberibacter species/citrus greening disease?,The purpose of testing for Huanglongbing-associated Candidatus Liberibacter species/citrus greening disease is to detect the presence of this disease.
What are the symptoms of Huanglongbing-associated Candidatus Liberibacter species/citrus greening disease?,The symptoms of Huanglongbing-associated Candidatus Liberibacter species/citrus greening disease include asymmetrical mottle on leaves and yellowing (zinc deficiency symptoms).
What is the method used for testing Xylella fastidiosa/citrus variegated chlorosis?,Source plant observation is used for testing Xylella fastidiosa/citrus variegated chlorosis.
What are the symptoms of Xylella fastidiosa/citrus variegated chlorosis?,The symptoms of Xylella fastidiosa/citrus variegated chlorosis include zinc deficiency symptoms and gummy lesions on the underside of leaves.
What is the purpose of using positive controls in biological indexing?,Positive controls are used to ensure complete and definite testing in biological indexing.
What are the temperature conditions for cool indexing?,Cool indexing conditions are between 24-27°C.
What are the temperature conditions for warm indexing?,Warm indexing conditions are between 28-40°C.
Where is laboratory testing typically performed?,Laboratory testing is typically performed on the source plant unless otherwise described.
What is the purpose of using dsRNA ELISA for testing miscellaneous and unknown diseases?,The purpose of using dsRNA ELISA is to detect the presence of miscellaneous and unknown diseases.
What is the purpose of using enzyme-linked immunosorbent assay (ELISA) for testing citrus viruses?,The purpose of using ELISA is to detect the presence of citrus viruses.
What is the process of treating citrus germplasm to remove pathogens?,"The process involves surface sterilization, placing the buds in media, and grafting under controlled conditions."
What is the advantage of using vegetative buds in cryotherapy?,"The buds are more robust and less tender than emerging buds, making them suitable for grafting."
How long is the freezing step in cryotherapy?,The freezing step is limited to 1-2 hours.
What is the purpose of indexing therized germplasm?,It is to test for all known graft-transmissible pathogens before releasing the germplasm from quarantine.
What is a clean stock program?,A clean stock program is a mechanism to recover healthy sources of local cultivars and provide pathogen-tested propagating material to the local citrus industry.
Who operates a clean stock program?,A research institution or a regulatory agency having jurisdiction over the citrus production area can operate a clean stock program.
How are mother trees selected for a clean stock program?,"Mother trees are selected based on horticultural characteristics without considering pathogen content, and a measurable trait or phenotype is often used to make the selection."
What is the purpose of selecting mother trees based on horticultural characteristics?,It helps to ensure that the selected mother trees are healthy and suitable for producing healthy offspring.
What is a measurable trait or phenotype used in a clean stock program?,"Examples of measurable traits or phenotypes include disease resistance, fruit quality, and growth habit."
How do you remove excess water from the cells in cryotherapy?,The vegetative buds are treated in a buffer to remove excess water.
What is the purpose of grafted buds in both shoot tip grafting and cryotherapy?,The purpose is to produce healthy plants free of pathogens.
What is the advantage of using etiolated rootstock?,It provides a stable and controlled environment for grafting.
How do you recover vegetative buds after freezing in liquid nitrogen?,The buds are recovered under controlled conditions.
What is the purpose of excising the base of the bud in cryotherapy?,It helps to remove any remaining water and pathogens.
What is the typical size of buds used in cryotherapy?,The buds are typically 1-1.5 mm when cut.
What is the difference between shoot tip grafting and cryotherapy?,"Cryotherapy uses vegetative buds, while shoot tip grafting uses emerging buds."
What is the purpose of testing for graft-transmissible pathogens?,It ensures that the therized germplasm is free of pathogens before release from quarantine.
How do you test for graft-transmissible pathogens?,Both biological and laboratory tests are used to detect pathogens.
What is the typical temperature for shoot tip grafting?,The buds are placed under lights at 25-26°C.
What is the typical duration of the shoot tip grafting process?,"The process involves cutting and grafting shoot tips, which can take some time."
What are some characteristics of phenotypes in citrus trees?,"Phenotypes can exhibit earlier maturation, consistent production of more fruit, and higher color score on fruit."
What is the purpose of the selection process in citrus tree breeding?,The selection process aims to identify potential mother trees that can be used for propagation.
How do farmers determine the presence of citrus viruses in trees?,Trees are indexed to determine the presence of citrus viruses.
What is therapy in citrus tree breeding?,Therapy involves treating trees with shoot tip grafting or thermotherapy to remove viruses.
Why is it important to index potential mother trees after therapy?,It is important to index potential mother trees after therapy to ensure they are free of graft-transmissible pathogens.
What is the horticultural evaluation in a clean stock program?,The horticultural evaluation is a process that assesses the quality and performance of citrus trees.
How can horticultural evaluation data benefit farmers?,Horticultural evaluation data can help farmers decide which cultivars or varieties to grow.
What is the goal of the clean stock program in Florida?,The goal of the clean stock program in Florida is to increase productivity in citrus trees.
What is certification in citrus tree breeding?,Certification is a process that guarantees the sanitary status and horticultural quality of propagating material.
Who typically operates certification programs?,Certification programs are usually operated by a state or provincial agency.
What is the primary function of primary foundation trees in a certification program?,Primary foundation trees are maintained by the agency in charge of the certification program and are used as a source of clean propagating material.
Why is testing of primary foundation trees important?,Testing of primary foundation trees is important to ensure they are free of commonly occurring citrus viruses or viroids.
What is a nursery increase block in a certification program?,A nursery increase block is a group of trees that are tested for pathogens known to be insect-vectored in the region.
What is the purpose of pest management areas in citrus tree breeding?,The purpose of pest management areas is to eradicate or suppress citrus viruses and other pathogens.
Can pest management areas be effective in controlling citrus viruses?,"Yes, pest management areas have been used effectively in California to control citrus viruses."
What is the benefit of a certification program?,The benefit of a certification program is to guarantee the sanitary status and horticultural quality of propagating material.
Who typically maintains the primary foundation trees in a certification program?,The agency in charge of the certification program typically maintains the primary foundation trees.
What is the purpose of recurring testing in a certification program?,The purpose of recurring testing is to ensure that primary foundation trees remain free of commonly occurring citrus viruses or viroids.
What is the typical scheme for a certification program?,The typical scheme for a certification program involves testing primary foundation trees and nursery increase blocks for pathogens.
Who is responsible for propagating citrus trees?,Commercial nurseries are responsible for propagating citrus trees.
What is the goal of a clean stock program?,The goal of a clean stock program is to maintain a source of mother trees and make budwood available upon request.
What is the benefit of a clean stock program to farmers?,The benefit of a clean stock program is to increase productivity in citrus trees.
When was the Central Valley of California divided into pest management areas for the suppression of CTV?,In 1963.
What was the result of an epidemic of CTV decline on sour orange in southern California production areas?,A wide spread incidence of tristeza.
Why was the Central California Citrus Pest Control Agency established?,To locate and remove CTV-infected trees.
What was the name of the agency later established to take over the responsibilities of the Central California Citrus Pest Control Agency?,The Central California Tristeza Eradication Agency (CCTEA).
Who is responsible for funding the CCTEA program?,"The Joint Operations of the Tristeza Eradication Program (Joint Powers Agreement or JPA) of the five citrus pest control districts in Fresno, Tulare, and Kern counties."
What is the main goal of the CCTEA program?,"To identify and eradicate CTV in a timely, orderly, and cost-effective manner."
What is the purpose of identifying reservoirs of CTV?,To eliminate trees that can spread CTV.
How effective has the CCTEA program been in controlling CTV?,The area has a very low incidence of CTV after five decades.
What is mild strain cross-protection (MSCP)?,A phenomenon where a mild isolate of a virus is used to suppress or delay the symptoms of a severe isolate of the same virus.
Is MSCP the same as virus resistance?,"No, it is not the same as virus resistance."
Under what conditions is MSCP a useful management strategy?,"When the disease is endemic with no other possibility of control, the mild isolate is stable, and there is no risk of spreading damage to other crops."
Who developed the concept of MSCP?,"Lee, Brlansky, Garnsey, and Yokomi."
When was the concept of MSCP first described?,In 1987.
What is the main difference between MSCP and virus resistance?,"MSCP is not a permanent solution, while virus resistance is."
What is the main advantage of using MSCP?,It can provide immediate relief from disease symptoms.
What is the main disadvantage of using MSCP?,It may not provide long-term protection against the virus.
How does MSCP work?,"By inoculating a plant with a mild isolate of a virus, which then suppresses or delays the symptoms of a severe isolate of the same virus."
Is MSCP a common method of controlling CTV?,"No, it is not commonly used."
What is the main challenge in using MSCP?,Ensuring the mild isolate does not spread and cause damage to other crops.
Why is MSCP not widely used as a management strategy?,Due to concerns about the potential risks and limitations of using a mild isolate to control a disease.
What is MSCP in citrus?,"MSCP stands for Mild Strain Cross Protection, a method to control disease losses due to severe viruses."
Which viruses has MSCP been used to control in citrus?,MSCP has been used to control Tristeza and other severe viruses in citrus.
How has MSCP been used in citrus production areas?,Empirically selected mild isolates of CTV have been used in several citrus production areas to maintain fruit production despite the presence of severe stem pitting strains.
What is the purpose of using MSCP in citrus?,The purpose of MSCP is to maintain fruit production despite the presence of severe stem pitting strains of CTV.
How does MSCP work in citrus?,"The mechanism of MSCP in citrus is not fully understood, but it is believed that several mechanisms are involved, including protein-mediated protection and RNA-mediated resistance."
What is CP-mediated resistance?,CP-mediated resistance is a type of resistance to viruses where the coat protein of the virus is used to protect the plant from infection.
Has CP-mediated resistance been demonstrated in any viruses?,"Yes, CP-mediated resistance has been demonstrated against Tobacco mosaic virus (TMV) and Cucumber mosaic virus."
What determines if CP-mediated resistance is expressed in transgenic plants?,The level of expression of the coat protein in transgenic plants determines if CP-mediated resistance is expressed.
Is CP-mediated resistance less strain-specific than RNA-mediated resistance?,"Yes, CP-mediated resistance is less strain-specific than RNA-mediated resistance."
Has RNA-mediated resistance been demonstrated in any viruses?,"Yes, RNA-mediated resistance has been demonstrated against Tobacco mosaic virus (TMV)."
Who suggested the RNA-mediated resistance model for cross protection?,Palukaitis and Zaitlin (1984) suggested the RNA-mediated resistance model for cross protection.
What percentage of Mexican lime plants transformed with the CP gene of CTV showed pathogen-derived resistance?,10-33% of Mexican lime plants transformed with the CP gene of CTV showed pathogen-derived resistance.
"What is the purpose of transforming plants, including citrus?","The purpose of transforming plants, including citrus, is to enable the development of a better understanding of MSCP at the molecular level with specific viruses."
How has MSCP been used in different citrus production areas?,"MSCP has been used in different citrus production areas, such as Brazil, Australia, South Africa, India, and Japan."
What is the potential benefit of using MSCP in citrus?,The potential benefit of using MSCP in citrus is to maintain fruit production despite the presence of severe stem pitting strains of CTV.
How has MSCP been used in Florida?,Empirically selected isolates of CTV were used in Florida to protect against CTV decline on sour orange rootstock.
What is the future of MSCP in citrus?,"The future of MSCP in citrus is expected to involve better and quicker methods of selection of isolates for MSCP, enabled by a better understanding of the mechanisms of MSCP."
What is the current method of selecting cross protection strains for MSCP?,The current method of selecting cross protection strains for MSCP involves empirical methods.
What is the role of RNA silencing in MSCP?,"The role of RNA silencing in MSCP is not fully understood, but it is believed to be one of the mechanisms involved in the phenomena."
What is the potential application of MSCP in citrus?,The potential application of MSCP in citrus is to protect against CTV decline and maintain fruit production.
How does MSCP work in different citrus varieties?,"The mechanism of MSCP may vary depending on the virus and/or host, and is not fully understood."
What is the significance of MSCP in citrus production?,MSCP is a significant method for controlling disease losses due to severe viruses in citrus production.
What is the future direction of MSCP research in citrus?,The future direction of MSCP research in citrus is expected to involve a better understanding of the mechanisms of MSCP and the development of better and quicker methods of selection of isolates for MSCP.
What is the mechanism of protection against viruses in plants?,"The mechanism of protection against viruses in plants is through RNA hybridization, where the virus produces excessive positive-sense RNA that hybridizes with the newly formed minus-strand RNA, stopping further replication and translation."
What is RNA-mediated resistance in plants?,"RNA-mediated resistance in plants is a form of resistance where a transgene with sequence homology to the virus is expressed, which silences the virus through a process called RNA interference (RNAi)."
What is post-transcriptional gene silencing (PTGS)?,"PTGS is a process where small interfering RNA (siRNA) mediates the degradation of complementary sequences, leading to the silencing of specific genes."
What is the role of siRNA in RNAi?,"SiRNA is processed from dsRNA and mediates RNA degradation of complementary sequences, leading to the silencing of specific genes."
What is the natural function of RNAi in plants?,"RNAi is a natural plant defense mechanism against viruses and transposons, and also regulates the expression levels of certain genes."
How can RNA-mediated protection against viruses be achieved?,"RNA-mediated protection against viruses can be achieved through the expression of a transgene with sequence homology to the virus, leading to RNAi and silencing of the virus."
What is the difference between CP-mediated resistance and RNA-mediated resistance?,"CP-mediated resistance and RNA-mediated resistance are two different mechanisms of protection against viruses in plants, with CP-mediated resistance involving coat protein-mediated protection and RNA-mediated resistance involving RNA interference."
Can RNAi be used to control virus diseases in citrus?,"Yes, RNAi has been reported to provide protection against Citrus tristeza virus (CTV) in Duncan grapefruit, and has been proposed as a viable control mechanism against virus diseases in citrus."
What is the significance of promoter methylation in RNAi?,Promoter methylation inhibits transcription and is associated with post-transcriptional gene silencing (PTGS).
Can RNAi be used to control virus diseases in general?,"Yes, RNAi has been proposed as a natural plant defense mechanism against viruses and transposons, and can be used to control virus diseases in general."
What is the role of MSCP in protecting plants against viruses?,"MSCP (Mild Strain Cross-Protection) uses one of two methods: CP-mediated resistance or RNA-mediated resistance, or a combination of both, to protect plants against viruses."
Can RNAi be used to control CTV in citrus?,"Yes, RNAi has been reported to provide protection against CTV in Duncan grapefruit."
What is the mechanism of MSCP?,"MSCP uses empirically selected strains of the virus, which determines the mechanism of protection used, which may be CP-mediated resistance, RNA-mediated resistance, or a combination."
Is RNAi a viable control mechanism against virus diseases?,"Yes, RNAi has been proposed as a viable control mechanism against virus diseases, including those affecting citrus."
Can RNAi be used to regulate gene expression?,"Yes, RNAi can be used to regulate the expression levels of certain genes in plants."
What is the role of dsRNA in RNAi?,dsRNA is processed into small interfering RNA (siRNA) which mediates RNA degradation of complementary sequences.
Can RNAi be used to control transposons?,"Yes, RNAi is a natural plant defense mechanism against transposons, and can be used to control their expression."
What is the significance of RNA-mediated protection against viruses?,RNA-mediated protection against viruses is a natural plant defense mechanism that provides protection against viruses and transposons.
Can RNAi be used to control virus diseases in general?,"Yes, RNAi has been proposed as a natural plant defense mechanism against viruses and transposons, and can be used to control virus diseases in general."
What is the significance of promoter methylation in RNAi?,Promoter methylation inhibits transcription and is associated with post-transcriptional gene silencing (PTGS).
Can RNAi be used to regulate gene expression in plants?,"Yes, RNAi can be used to regulate the expression levels of certain genes in plants."
What is the name of the disease associated with a Badnavirus in India?,Citrus mosaic disease.
Who published a study on the nucleotide sequencing of the coat protein gene of Citrus psorosis virus?,"Barthe, Ceccardi, Manjunath, and Derrick."
